"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-10","2008-05-16",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","2008","17","SEDAN 5 PTAS","34","PEUGEOT","HB","307 XS PREMIUM 2.0 HDI 5P 110 CV","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","Femenino","1953","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-17","2015-07-01",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2015","17","SEDAN 5 PUERTAS","17","FIAT","BN","PALIO (326) ESSENCE 5P 1.6 16V","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-15","2007-08-10",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","2007","17","SEDAN 5 PUERTAS","07","CITROEN","41","BERLINGO MULTISPACE 1.9D FULL","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Masculino","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-11","2015-05-11",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","2015","17","SEDAN 5 PUERTAS","17","FIAT","AY","PALIO (326) ATTRACTIVE 5P 1.4 8V","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-02","2004-04-14",16014,"SAN CARLOS DE BARILOCHE Nº 3","Río Negro","Nacional","2004","17","SEDAN 5 PTAS","34","PEUGEOT","DZ","307 XS PREMIUM 2.0 5P","1","Privado","Física","S.C.DE BARILOCHE","RIO NEGRO","Masculino","1989","ARGENTINA",100,"62","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-01","2014-11-26",1193,"LUJAN Nº 2","Buenos Aires","Nacional","2014","17","SEDAN 5 PUERTAS","19","FORD","XH","FOCUS 5P 1.6L N MT S","1","Privado","Física","LUJAN","BUENOS AIRES","Femenino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-07","2012-11-28",2080,"CAPITAL FEDERAL Nº 080","Ciudad Autónoma de Bs.As.","Nacional","2012","17","SEDAN 5 PUERTAS","53","VOLKSWAGEN","TD","SURAN 1.6L 5D 700","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1973","ARGENTINA",50,"02","ARG"
"COMUNICACIÓN DE RECUPERO","2022-02-01","2011-10-07",1188,"LA PLATA Nº 07","Buenos Aires","Nacional","2011","17","SEDAN 5 PTAS","19","FORD","VX","FOCUS TREND 1.6L NAFTA","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","1946","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-03","2015-06-16",2084,"CAPITAL FEDERAL Nº 084","Ciudad Autónoma de Bs.As.","Nacional","2015","17","SEDAN 5 PUERTAS","34","PEUGEOT","KH","PARTNER PATAGONICA 1.4","2","Público","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1971","PERU",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-11","2014-01-10",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","2014","17","SEDAN 5 PUERTAS","53","VOLKSWAGEN","VH","SURAN 1.6L 5P 814","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","No identificado","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-11","1994-10-25",16017,"CINCO SALTOS","Río Negro","Nacional","1994","17","SEDAN 5 PUERTAS","19","FORD","40","ESCORT LX","1","Privado","Física","CONTRALMIORANTE CORDERO","RIO NEGRO","Masculino","1959","ARGENTINA",100,"62","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-14","1998-12-22",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","1998","17","SEDAN 5 PTAS","37","RENAULT","CV","CLIO RN 5 PTAS PACK A.A.","1","Privado","Física","WILDE","BUENOS AIRES","No identificado","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-09","2005-02-10",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2005","17","SEDAN 5 PTAS","34","PEUGEOT","DX","307 XS 1.6 5P","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-08","2007-02-08",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2007","17","SEDAN 5 PTAS","53","VOLKSWAGEN","KR","SURAN         60D","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-01","2015-07-17",1194,"AVELLANEDA Nº 5","Buenos Aires","Nacional","2015","17","SEDAN 5 PUERTAS","19","FORD","XH","FOCUS 5P 1.6L N MT S","1","Privado","Física","GERLI","BUENOS AIRES","No identificado","1991","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2022-02-14","2015-07-01",2084,"CAPITAL FEDERAL Nº 084","Ciudad Autónoma de Bs.As.","Nacional","2015","17","SEDAN 5 PUERTAS","17","FIAT","CC","PALIO FIRE 1.4 5P","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1999","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-17","2008-07-31",1078,"LA MATANZA Nº 01","Buenos Aires","Nacional","2008","17","SEDAN 5 PUERTAS","34","PEUGEOT","CM","206 XT 1.6 5P","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","No identificado","1981","ARGENTINA",100,"06","ARG"
